phrase,type
4 in 1 microwave machine now in stock,formal
a pregnant woman delivered a healthy baby boy after she was shot leaving a church in far Northeast Dallas,formal
[aaaaa<eex>] I miss [u] so bad,slang
[aaaaaah<eex>] I'm so happy,slang
Amazon warehouse workers injured at higher rates than rival companies study finds,formal
an oasis of happiness amidst the chaos of a city,formal
and [u] don't believe me when I tell [u] [hes] a vampire,slang
anyone in the Oxnard Ventura area please be on the lookout for our friend,formal
anything was better than Trump [tbh<shmex>],slang
are you joining us to eliminate child labour and its worst forms,formal
as of tonight my team has sued 6 states to block new voter suppression laws,formal
[awww<eex>] so cute,slang
be less [hyper<adj>] this year,slang
Beastie Boys in concert at Glasgow Barrowlands in May 1987,formal
because you're afraid to even admit you're afraid,formal
can [yal] all log out I [wanna] be alone right now,slang
can you guys actually [f-off<v>] now,slang
cant come at people all [up-in-arms<adj>] all of a sudden and think that we [aint] smart enough to see through the hypocrisy,slang
Catto has been captured,formal
[caught-in-4k],slang
[certified-vaccine-freak<mwn>] right here,slang
clear that positive tests are rising at the moment,formal
close not me [btw<shmex>],slang
[congrats] [bro<pex>],slang
[cus] [imma] watch Love Jones no matter how bad I realized it is,slang
Dery we love you [pls<shmex>] stay strong,slang
did something different today,formal
do not forget the revolution continue to oppose the military dictator,formal
do you think they don't fine white people,formal
[dont] preach to [em] today they [dont] [wanna] believe it,slang
[dude<pex>] how do people take such [bomb<adj>] pictures every single day,slang
I'm [on<sha>],slang
every day more developers are accelerating app development with Azure,formal
the film opens with a wordless scene a vintage photograph of two men,formal
Filmfare has posted a total of 4 tweets about Sidharthshukla yesterday,formal
for example if [its] written in English while being Spanish obviously [hes] [retarded<adj>],slang
for example the physio is 2x what I've paid to independent practitioners in the UK,formal
friends the surprise is coming,formal
from the river to the sea Palestine will be free,formal
good for you,formal
got split into 2 because it's too long for twitter,formal
[guyysss<en>] I found where that legendary meme came from,slang
[hahahahahahahhahahahshajsahhsahdsajdhajhajhahah<eex>],slang
handwritten letters mean so much to me [u] [hv] no idea,slang
happy 25th birthday to my [one-and-only<pex>],slang
happy birthday [bro<pex>] hope you have [a-good-one<mwexn>],slang
happy birthday Dineshkarthik god bless [buddy<pex>],slang
happy birthday to [youuuu],slang
have a good day love,formal
have a good day [luv<pex>],slang
have a good time,formal
have you seen these people,formal
he deserves the world,formal
he does so much for us it makes me cry,formal
he got sick yesterday,formal
he has been gone for 37 years yet his image and his name still shakes the core of many,formal
he's so handsome without any effort,formal
health watchdogs are calling for staff in GP surgeries to be retrained in customer service skills,formal
hello honey how are you doing today,formal
hello stakeholders,formal
hey how [yall] [doin],slang
[hmm<eex>] I am a bit red,slang
how to get better pictures of urban wildlife,formal
hundreds gathered monday for an interfaith service dedicating a prayer wall outside a historic church in Tulsa,formal
I will be planning when and how [ima] cut someone off,slang
I did that when I got a new phone,formal
I don't know what counts as indie anymore so [imma] just list some phenomenal puzzle games,slang
I feel like this was made specifically for me considering I have this framed on my wall 13 years later,formal
I got sick,formal
I got watched as I sat in my chair and she made me feel weird [bc<shmex>] she asked me so many times I was like do I look sick,slang
I [gotta] get likes,slang
I hate having no energy,formal
I have never seen that man,formal
I have no words,formal
I hope other players withdraw in solidarity with Naomi Osaka,formal
I just made that earlier,formal
I just [wanna] give him a hug and tell him that he is so appreciated,slang
I kind of love this,formal
I lit my new grill today,formal
I love you [papaaaaa<en>],slang
I [luv] you,slang
I made you breakfast,formal
I think Disney is making me more mentally ill,formal
I think I did something and now im sobbing,formal
I [wanna] [b] mysterious so bad,slang
I was honored to meet two survivors of the Tulsa Race Massacre Mother Viola Fletcher and Mr Hughes Van Ellis,formal
I will hate you for the rest of my life,formal
I will look dead [in-yo-face<adj>],slang
I wouldn't be me if I didn't paint a cat eventually,formal
[Ill] never subject [u] to that again,slang
I'm gonna [go-out-on-a-limb] here and say [yuck],slang
I'm sick,formal
I've actually owned it for quite some time,formal
I've been waiting,formal
I've talked to people who are pro vaccine but are waiting,formal
I've tried nothing,formal
if my wife disapproves she will have to stay outside,formal
if we lose this [were] [gonna] [kiss-our-chances-of-winning-goodbye],slang
if [we-texting] past 12 am [ur] replies [gotta] be within seconds,slang
if you don't know now you know,formal
[im] [gonna] call him that from now on,slang
[im] in 3 of them,slang
[ima] buy a Samsung,slang
[imma] make sure you have a good time July 10,slang
[imo] yes considerably less [bloat<n>] and some of their phones have modular add ons,slang
improving bilateral relations with Afghanistan is of utmost importance to Pakistan in the context of India,formal
is that seriously even a question,formal
Israeli embassy hosts hatefest in the heart of London,formal
it felt fitting [lol<eex>],slang
it hurts but I prefer to keep quiet and smile like nothing happened,formal
it is good [lol<eex>],slang
it is what it is,formal
it probably started in 2020,formal
it seems you've been going through the same old routine lately,formal
its all about who you want to eat tacos with at 2am,formal
it's not gambling if you know [youre] [gonna] win,slang
it's so bad for us,formal
it's somehow sentimental to think that Lee was the last artist who Hanbin collaborated with before he went on a hiatus,formal
I've only just seen this and [dunno] who made this,slang
[keep-rocking] AMC Theatres the right way,slang
kill him not even kidding we are not [finna] do this again,slang
lakers going 3 2 tonight,formal
leave a dot and [ill] tell what I want from [u],slang
Let's build a healthcare system that people aren't terrified of using,formal
Let's just all sort out our mental health concerns,formal
like you cant be mad [im] [lit] and you [fightin] demons,slang
[lmao<eex>] the lack of brain cells required to have [fucked-that-up] so badly,slang
[lol<eex>],slang
[lol<eex>] careful with the insults,slang
