phrase,type
4 in 1 microwave machine now in stock,formal
a pregnant woman delivered a healthy baby boy after she was shot leaving a church in far northeast dallas,formal
aaaaa i miss u so bad,slang
aaaaaah i'm so happy,slang
amazon warehouse workers injured at higher rates than rival companies study finds,formal
an oasis of happiness amidst the chaos of a city,formal
and u don't believe me when i tell u hes a vampire,slang
anyone in the oxnard ventura area please be on the lookout for our friend,formal
anything was better than trump tbh,slang
are you joining us to eliminate child labour and its worst forms,formal
as of tonight my team has sued 6 states to block new voter suppression laws,formal
awww so cute,slang
be less hyper this year,slang
beastie boys in concert at glasgow barrowlands in may 1987,formal
because you're afraid to even admit you're afraid,formal
can yal all log out i wanna be alone right now,slang
can you guys actually f off now,slang
cant come at people all up in arms all of a sudden and think that we aint smart enough to see through the hypocrisy,slang
catto has been captured,formal
caught in 4k,slang
certified vaccine freak right here,slang
clear that positive tests are rising at the moment,formal
close not me btw,slang
congrats bro,slang
cus imma watch love jones no matter how bad i realized it is,slang
dery we love you pls stay strong,slang
did something different today,formal
do not forget the revolution continue to oppose the military dictator,formal
do you think they don't fine white people,formal
dont preach to em today they dont wanna believe it,slang
dude how do people take such bomb pictures every single day,slang
i'm on,slang
every day more developers are accelerating app development with azure,formal
the film opens with a wordless scene a vintage photograph of two men,formal
filmfare has posted a total of 4 tweets about sidharthshukla yesterday,formal
for example if its written in english while being spanish obviously hes retarded,slang
for example the physio is 2x what i've paid to independent practitioners in the uk,formal
friends the surprise is coming,formal
from the river to the sea palestine will be free,formal
good for you,formal
got split into 2 because it's too long for twitter,formal
guyysss i found where that legendary meme came from,slang
hahahahahahahhahahahshajsahhsahdsajdhajhajhahah,slang
handwritten letters mean so much to me u hv no idea,slang
happy 25th birthday to my one and only,slang
happy birthday bro hope you have a good one,slang
happy birthday dineshkarthik god bless buddy,slang
happy birthday to youuuu,slang
have a good day love,formal
have a good day luv,slang
have a good time,formal
have you seen these people,formal
he deserves the world,formal
he does so much for us it makes me cry,formal
he got sick yesterday,formal
he has been gone for 37 years yet his image and his name still shakes the core of many,formal
he's so handsome without any effort,formal
health watchdogs are calling for staff in gp surgeries to be retrained in customer service skills,formal
hello honey how are you doing today,formal
hello stakeholders,formal
hey how yall doin,slang
hmm i am a bit red,slang
how to get better pictures of urban wildlife,formal
hundreds gathered monday for an interfaith service dedicating a prayer wall outside a historic church in tulsa,formal
i will be planning when and how ima cut someone off,slang
i did that when i got a new phone,formal
i don't know what counts as indie anymore so imma just list some phenomenal puzzle games,slang
i feel like this was made specifically for me considering i have this framed on my wall 13 years later,formal
i got sick,formal
i got watched as i sat in my chair and she made me feel weird bc she asked me so many times i was like do i look sick,slang
i gotta get likes,slang
i hate having no energy,formal
i have never seen that man,formal
i have no words,formal
i hope other players withdraw in solidarity with naomi osaka,formal
i just made that earlier,formal
i just wanna give him a hug and tell him that he is so appreciated,slang
i kind of love this,formal
i lit my new grill today,formal
i love you papaaaaa,slang
i luv you,slang
i made you breakfast,formal
i think disney is making me more mentally ill,formal
i think i did something and now im sobbing,formal
i wanna b mysterious so bad,slang
i was honored to meet two survivors of the tulsa race massacre mother viola fletcher and mr hughes van ellis,formal
i will hate you for the rest of my life,formal
i will look dead in yo face,slang
i wouldn't be me if i didn't paint a cat eventually,formal
ill never subject u to that again,slang
i'm gonna go out on a limb here and say yuck,slang
i'm sick,formal
i've actually owned it for quite some time,formal
i've been waiting,formal
i've talked to people who are pro vaccine but are waiting,formal
i've tried nothing,formal
if my wife disapproves she will have to stay outside,formal
if we lose this were gonna kiss our chances of winning goodbye,slang
if we texting past 12 am ur replies gotta be within seconds,slang
if you don't know now you know,formal
im gonna call him that from now on,slang
im in 3 of them,slang
ima buy a samsung,slang
imma make sure you have a good time july 10,slang
imo yes considerably less bloat and some of their phones have modular add ons,slang
improving bilateral relations with afghanistan is of utmost importance to pakistan in the context of india,formal
is that seriously even a question,formal
israeli embassy hosts hatefest in the heart of london,formal
it felt fitting lol,slang
it hurts but i prefer to keep quiet and smile like nothing happened,formal
it is good lol,slang
it is what it is,formal
it probably started in 2020,formal
it seems you've been going through the same old routine lately,formal
its all about who you want to eat tacos with at 2am,formal
it's not gambling if you know youre gonna win,slang
it's so bad for us,formal
it's somehow sentimental to think that lee was the last artist who hanbin collaborated with before he went on a hiatus,formal
i've only just seen this and dunno who made this,slang
keep rocking amc theatres the right way,slang
kill him not even kidding we are not finna do this again,slang
lakers going 3 2 tonight,formal
leave a dot and ill tell what i want from u,slang
let's build a healthcare system that people aren't terrified of using,formal
let's just all sort out our mental health concerns,formal
like you cant be mad im lit and you fightin demons,slang
lmao the lack of brain cells required to have fucked that up so badly,slang
lol,slang
lol careful with the insults,slang
lol who did this,slang
loneliness hurts so much,formal
loneliness is the worst feeling there is,formal
look at them,formal
losing me is like losing yo 2 front teeth,slang
lyin i already caught u in 4k,slang
malaysian soup kitchen soldier on to serve the poor and needy despite nationwide lockdown,formal
meanwhile i already cut myself twice last month,formal
morning cate have a fabulous day,formal
my new grill is lit,slang
nah but fr maelo be testing my patience everyday,slang
nah this shit over,slang
nah you seeking father figures instead,slang
never lose hope,formal
next pandemic the pharmaceutical companies should sell naming rights for the vaccines to raise even more money,formal
no cuz she wouldve killed him if he became vulnerable,slang
no joke yall are weirddddddd,slang
no thanks so overhyped,slang
nooooooooooooooooo,slang
nope nope and nope never,slang
not that simple,formal
now i can finally do this,formal
